Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR,Fraction of Chaperoned nAChR
0.0295788466467503,38.8468236331237,1.85302182256135,0.037377848708785,0.510602350985056
0.0302458785672193,39.5765207619073,1.93221617363132,0.0380536794383844,0.515308868979881
0.0313872351723321,40.8120115752036,2.0710401888567,0.0391958044320774,0.523071998870596
0.0321555601316869,41.63449789802,2.16682153558601,0.0399546326608472,0.528101536011742
0.0329238850910418,42.4496584542244,2.26445499586827,0.0407055200312678,0.532983035395989
0.0336922100503967,43.2575639021544,2.36392158662781,0.0414485659554644,0.537721618068915
0.0344605350097516,44.0582840594259,2.46520250858122,0.0421838681780407,0.542323937419354
0.0352288599691065,44.8518882002472,2.56827914465118,0.042911523180584,0.546795264778398
0.0359971849284614,45.6384448207206,2.67313305817023,0.0436316258756161,0.551141903920928
0.0367655098878163,46.4180220888693,2.77974599141105,0.0443442701883637,0.555366744744526
0.0375338348471712,47.1906871580616,2.88809986374507,0.0450495482295598,0.559476198907432
0.038302159806526,47.9565066157795,2.99817676977539,0.0457475509183208,0.563475781601151
0.0390704847658809,48.7155467296934,3.10995897795956,0.0464383681807173,0.567367701673242
0.0398388097252358,49.4678728712764,3.22342892899613,0.0471220883488504,0.571156686351718
0.0406071346845907,50.2135498060725,3.33856923406757,0.0477987985396707,0.57484714405259
0.0413754596439456,50.9526416737357,3.45536267311044,0.0484685845944502,0.578443428886713
0.0421437846033005,51.6852122290264,3.57379219343192,0.0491315314051795,0.581947481762542
0.0429121095626554,52.4113244071323,3.69384090811976,0.0497877223927469,0.585363237145232
0.0436804345220103,53.131040581456,3.81549209437913,0.0504372398823905,0.588694107115286
0.0444487594813652,53.8444224756633,3.93872919185224,0.05108016494418,0.591943924054888
0.04521708444072,54.5515315123653,4.06353580133235,0.0517165778617981,0.595113501044645
0.0459854094000749,55.2524282025346,4.18989568314694,0.0523465573832066,0.598206799032242
0.0467537343594298,55.9471724555612,4.31779275538278,0.0529701811854666,0.601227892554016
0.0475124727697459,56.6272687381357,4.44558702607792,0.0535798617941501,0.604140778432256
0.0482712111800619,57.3014800327786,4.57484966013119,0.0541834921391703,0.606986211597894
0.0490299495903779,57.9698625270969,4.70556560666105,0.054781144075593,0.609766853905484
0.0506839526257386,59.4069592492251,4.99548415131636,0.0560636069922048,0.615613865992714
0.0523379556610993,60.8171874952882,5.29208675227485,0.0573187128473451,0.621183221332785
0.05399195869646,62.2011046498453,5.59522433477785,0.0585471599065085,0.626493297442816
0.0556459617318207,63.5592559879072,5.9047510899638,0.0597496259167592,0.631561366828426
0.0572999647671814,64.8921752991994,6.22052432936151,0.0609267683588076,0.636402798135421
0.058953967802542,66.2003852498147,6.54240436267471,0.0620792257440622,0.641032011065894
0.0606079708379027,67.4843977497834,6.8702544133663,0.0632076182544261,0.645461958212442
0.0622619738732634,68.7447141209924,7.2039405545989,0.0643125483448671,0.649704841885321
0.0639159769086241,69.9818253613878,7.54333165205426,0.0653946013710036,0.653771610603336
0.0655699799439848,71.1962122809466,7.88829930786815,0.0664543460903294,0.657672696496456
0.0667735042735043,72.0658390266528,8.14274591342043,0.0672117576894486,0.660412580935919
0.0667735042735043,72.0658390266528,8.14274591342043,0.0672117576894486,0.660412580935919
0.0667745104306435,72.0649915858156,8.14295982285309,0.0672123030931716,0.660414805931717
0.0667755165877828,72.0641441667911,8.14317372939648,0.0672127705250152,0.660416999114725
0.0667780419571983,72.0620173048932,8.14371060461496,0.0672136482796101,0.660422371672452
0.0667805673266138,72.0598905566306,8.14424746365568,0.0672141705911793,0.660427569961159
0.0667830926960293,72.0577639265835,8.14478430517129,0.0672143541602838,0.66043258199804
0.0667881151466565,72.0535348268593,8.14585192085476,0.0672139090552878,0.660441992820302
0.0667931375972836,72.049306157126,8.14691946486202,0.0672125772635293,0.660450678153324
0.0668012608709052,72.0424675891361,8.14864595033638,0.0672091052849557,0.660463243726562
0.0668093841445267,72.0356300107492,8.15037224764939,0.067204550716439,0.660474051565504
0.0668175074181482,72.028793365479,8.15209835674703,0.0671993893191323,0.660483192789019
0.0668256306917697,72.0219576158262,8.15382427764435,0.0671939061231849,0.660490756789524
0.0668337539653912,72.015122738762,8.15555001037371,0.0671882464890876,0.660496827277133
0.0668418772390127,72.0082887192641,8.15727555496565,0.0671824813543024,0.660501482386029
0.0668500005126342,72.0014555460751,8.15900091144634,0.0671766488271955,0.660504795597175
0.0668630192814809,71.9905060999987,8.16176566267797,0.0671672125698423,0.660507477138627
0.0668760380503277,71.9795587706511,8.16452993090088,0.067157724403245,0.660507155151819
0.0668890568191744,71.9686135296435,8.16729371620709,0.0671482176527644,0.66050407673801
0.0669109152077794,71.950241206801,8.17193299952041,0.067132240624488,0.660493316623231
0.0669327735963843,71.9318746053528,8.17657092216636,0.0671162605927355,0.660476367752632
0.0669675677157548,71.9026503001964,8.1839507481737,0.0670908292660343,0.66043861736167
0.0670023618351253,71.8734399959191,8.19132712921881,0.0670654034101754,0.660390031455128
0.0670371559544958,71.8442434650261,8.19870006693672,0.0670399826962902,0.66033282396311
0.0670719500738663,71.8150605265303,8.20606956293937,0.0670145725359177,0.660268738894806
0.0671291721271896,71.7670957439747,8.21818188053511,0.0669728090992706,0.660152012901218
0.0671863941805129,71.7191668461456,8.23028490073279,0.0669310762269611,0.660025041813336
0.0672436162338362,71.6712734968937,8.24237863047031,0.0668893707379086,0.659890930424975
0.0673008382871595,71.6234154526291,8.25446307663709,0.0668476913383403,0.659751857926287
0.0673580603404828,71.5755925317869,8.26653824608839,0.0668060385771248,0.659609382737452
0.0674152823938061,71.5278046002908,8.27860414565207,0.0667644128169256,0.659464589636182
0.0675049057239261,71.4530274301432,8.29748359779572,0.0666992706681736,0.659234874346915
0.0675945290540461,71.3783355829697,8.31634035274494,0.0666341936635982,0.659002967099563
0.0676841523841661,71.3037288762352,8.33517443650343,0.0665691817598251,0.65876971998325
0.067773775714286,71.2292071602953,8.35398587502968,0.0665042349249987,0.658535657883939
0.067863399044406,71.1547703019935,8.37277469424476,0.0664393530339439,0.658301142312402
0.0680036667705646,71.0384406872379,8.40213536723255,0.0663379378057903,0.657933610898314
0.0682234500971962,70.8565820965565,8.44802909419223,0.0661793507767889,0.657357081248444
0.0684432334238277,70.6752306622627,8.49378757253136,0.0660211523286181,0.656780260526927
0.0686630167504593,70.49438496252,8.53941118141124,0.0658633416577695,0.656203176938832
0.0692473920868364,70.0159841658604,8.66006657235601,0.0654456194238604,0.654666976890364
0.0698317674232135,69.5411198172107,8.77977889559467,0.0650306154254512,0.653128424856432
